year,state,rate,deaths,state_name,law_strength_score,restrictive_laws,permissive_laws,total_law_changes,unique_law_classes,strength_background_checks,strength_carrying_a_concealed_weapon_ccw,strength_castle_doctrine,strength_dealer_license,strength_firearm_sales_restrictions,strength_local_laws_preempted_by_state,strength_minimum_age,strength_prohibited_possessor,strength_registration,strength_waiting_period,strength_firearm_removal_at_scene_of_domestic_violence,strength_firearms_in_college_university,strength_child_access_laws,strength_gun_trafficking,strength_open_carry,strength_required_reporting_of_lost_or_stolen_firearms,strength_safety_training_required,strength_untraceable_firearms,strength_permit_to_purchase,strength_firearms_in_k_12_educational_settings,class_count_background_checks,class_count_carrying_a_concealed_weapon_ccw,class_count_castle_doctrine,class_count_dealer_license,class_count_firearm_sales_restrictions,class_count_local_laws_preempted_by_state,class_count_minimum_age,class_count_prohibited_possessor,class_count_registration,class_count_waiting_period,class_count_firearm_removal_at_scene_of_domestic_violence,class_count_firearms_in_college_university,class_count_child_access_laws,class_count_gun_trafficking,class_count_open_carry,class_count_required_reporting_of_lost_or_stolen_firearms,class_count_safety_training_required,class_count_untraceable_firearms,class_count_permit_to_purchase,class_count_firearms_in_k_12_educational_settings,class_restrictive_background_checks,class_restrictive_carrying_a_concealed_weapon_ccw,class_restrictive_castle_doctrine,class_restrictive_dealer_license,class_restrictive_firearm_sales_restrictions,class_restrictive_local_laws_preempted_by_state,class_restrictive_minimum_age,class_restrictive_prohibited_possessor,class_restrictive_registration,class_restrictive_waiting_period,class_restrictive_firearm_removal_at_scene_of_domestic_violence,class_restrictive_firearms_in_college_university,class_restrictive_child_access_laws,class_restrictive_gun_trafficking,class_restrictive_open_carry,class_restrictive_required_reporting_of_lost_or_stolen_firearms,class_restrictive_safety_training_required,class_restrictive_untraceable_firearms,class_restrictive_permit_to_purchase,class_restrictive_firearms_in_k_12_educational_settings,class_permissive_background_checks,class_permissive_carrying_a_concealed_weapon_ccw,class_permissive_castle_doctrine,class_permissive_dealer_license,class_permissive_firearm_sales_restrictions,class_permissive_local_laws_preempted_by_state,class_permissive_minimum_age,class_permissive_prohibited_possessor,class_permissive_registration,class_permissive_waiting_period,class_permissive_firearm_removal_at_scene_of_domestic_violence,class_permissive_firearms_in_college_university,class_permissive_child_access_laws,class_permissive_gun_trafficking,class_permissive_open_carry,class_permissive_required_reporting_of_lost_or_stolen_firearms,class_permissive_safety_training_required,class_permissive_untraceable_firearms,class_permissive_permit_to_purchase,class_permissive_firearms_in_k_12_educational_settings,high_risk,rate_change,law_strength_change,restrictive_ratio,permissive_ratio
2014,CA,7.4,2942,California,53,60,7,67,17,10,-1,-2,2,8,-3,7,11,3,4,1,3,1,2,4,1,2,0,0,0,10,1,2,2,8,3,7,11,3,4,1,5,1,2,4,1,2,0,0,0,10,0,0,2,8,0,7,11,3,4,1,4,1,2,4,1,2,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0.9,0.1
2015,CA,7.7,3095,California,57,64,7,71,17,11,-1,-2,2,8,-3,7,11,4,4,1,3,1,2,4,1,4,0,0,0,11,1,2,2,8,3,7,11,4,4,1,5,1,2,4,1,4,0,0,0,11,0,0,2,8,0,7,11,4,4,1,4,1,2,4,1,4,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2999999999999998,4,0.9,0.1
2016,CA,7.9,3184,California,60,68,8,76,17,11,-1,-2,2,8,-3,7,15,4,4,1,2,1,2,4,1,4,0,0,0,11,1,2,2,8,3,7,15,4,4,1,6,1,2,4,1,4,0,0,0,11,0,0,2,8,0,7,15,4,4,1,4,1,2,4,1,4,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.20000000000000018,3,0.89,0.11
2017,CA,7.9,3184,California,62,70,8,78,17,11,-1,-2,2,8,-3,7,15,4,4,1,2,1,2,4,3,4,0,0,0,11,1,2,2,8,3,7,15,4,4,1,6,1,2,4,3,4,0,0,0,11,0,0,2,8,0,7,15,4,4,1,4,1,2,4,3,4,0,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.9,0.1
2018,CA,7.5,3040,California,64,72,8,80,18,11,-1,-2,2,8,-3,7,15,4,4,1,2,1,2,4,4,4,1,0,0,11,1,2,2,8,3,7,15,4,4,1,6,1,2,4,4,4,1,0,0,11,0,0,2,8,0,7,15,4,4,1,4,1,2,4,4,4,1,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.40000000000000036,2,0.9,0.1
2019,CA,7.2,2945,California,66,74,8,82,18,11,-1,-2,2,8,-3,8,15,4,4,1,2,1,2,4,5,4,1,0,0,11,1,2,2,8,3,8,15,4,4,1,6,1,2,4,5,4,1,0,0,11,0,0,2,8,0,8,15,4,4,1,4,1,2,4,5,4,1,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2999999999999998,2,0.9,0.1
2020,CA,8.5,3449,California,67,75,8,83,18,11,-1,-2,2,8,-3,8,15,4,4,1,2,1,2,4,5,4,2,0,0,11,1,2,2,8,3,8,15,4,4,1,6,1,2,4,5,4,2,0,0,11,0,0,2,8,0,8,15,4,4,1,4,1,2,4,5,4,2,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.2999999999999998,1,0.9,0.1
2021,CA,9,3576,California,67,75,8,83,18,11,-1,-2,2,8,-3,8,15,4,4,1,2,1,2,4,5,4,2,0,0,11,1,2,2,8,3,8,15,4,4,1,6,1,2,4,5,4,2,0,0,11,0,0,2,8,0,8,15,4,4,1,4,1,2,4,5,4,2,0,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.9,0.1
2022,CA,8.6,3484,California,67,76,9,85,18,11,-2,-2,2,8,-3,8,15,4,4,1,2,1,2,4,5,4,3,0,0,11,2,2,2,8,3,8,15,4,4,1,6,1,2,4,5,4,3,0,0,11,0,0,2,8,0,8,15,4,4,1,4,1,2,4,5,4,3,0,0,0,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.40000000000000036,0,0.89,0.11
2023,CA,8,3209,California,68,77,9,86,18,11,-2,-2,2,8,-3,9,15,4,4,1,2,1,2,4,5,4,3,0,0,11,2,2,2,8,3,9,15,4,4,1,6,1,2,4,5,4,3,0,0,11,0,0,2,8,0,9,15,4,4,1,4,1,2,4,5,4,3,0,0,0,2,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5999999999999996,1,0.9,0.1
2014,CO,12.2,663,Colorado,19,27,8,35,11,8,-2,-2,0,4,-2,6,3,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,5,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,4,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0.77,0.23
2015,CO,12.6,701,Colorado,19,27,8,35,11,8,-2,-2,0,4,-2,6,3,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,5,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,4,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.40000000000000036,0,0.77,0.23
2016,CO,14.3,812,Colorado,19,27,8,35,11,8,-2,-2,0,4,-2,6,3,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,5,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,4,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.700000000000001,0,0.77,0.23
2017,CO,13.4,779,Colorado,19,27,8,35,11,8,-2,-2,0,4,-2,6,3,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,5,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,4,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9000000000000004,0,0.77,0.23
2018,CO,15.2,889,Colorado,19,27,8,35,11,8,-2,-2,0,4,-2,6,3,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,5,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,4,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.799999999999999,0,0.77,0.23
2019,CO,14.2,846,Colorado,20,28,8,36,11,8,-2,-2,0,4,-2,6,4,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,6,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,5,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,0.78,0.22
2020,CO,15.4,922,Colorado,21,29,8,37,11,8,-2,-2,0,4,-2,6,5,0,0,1,1,1,1,0,0,0,0,0,0,9,2,2,0,4,2,6,7,0,0,1,3,1,1,0,0,0,0,0,0,7,0,0,0,4,0,6,6,0,0,1,2,1,1,0,0,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.200000000000001,1,0.78,0.22
2021,CO,17.8,1064,Colorado,26,34,8,42,12,10,-2,-2,0,4,-2,6,5,0,0,1,1,2,1,0,2,0,0,0,0,11,2,2,0,4,2,6,7,0,0,1,3,2,1,0,2,0,0,0,0,9,0,0,0,4,0,6,6,0,0,1,2,2,1,0,2,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.4000000000000004,5,0.81,0.19
2022,CO,17.1,1036,Colorado,27,35,8,43,12,10,-2,-2,0,5,-2,6,5,0,0,1,1,2,1,0,2,0,0,0,0,11,2,2,0,5,2,6,7,0,0,1,3,2,1,0,2,0,0,0,0,9,0,0,0,5,0,6,6,0,0,1,2,2,1,0,2,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.6999999999999993,1,0.81,0.19
2023,CO,16.6,1019,Colorado,32,40,8,48,13,10,-2,-2,0,5,-2,8,7,0,1,1,1,2,1,0,2,0,0,0,0,11,2,2,0,5,2,8,9,0,1,1,3,2,1,0,2,0,0,0,0,9,0,0,0,5,0,8,8,0,1,1,2,2,1,0,2,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.5,5,0.83,0.17
2014,CT,5,187,Connecticut,44,52,8,60,17,9,-2,-2,2,6,-1,6,7,2,4,1,0,1,4,-1,4,2,0,2,0,9,2,2,2,6,1,6,7,2,8,1,0,1,4,1,4,2,0,2,0,9,0,0,2,6,0,6,7,2,5,1,0,1,4,0,4,2,0,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0.87,0.13
2015,CT,5.3,189,Connecticut,44,52,8,60,17,9,-2,-2,2,6,-1,6,7,2,4,1,0,1,4,-1,4,2,0,2,0,9,2,2,2,6,1,6,7,2,8,1,0,1,4,1,4,2,0,2,0,9,0,0,2,6,0,6,7,2,5,1,0,1,4,0,4,2,0,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.2999999999999998,0,0.87,0.13
2016,CT,4.6,172,Connecticut,45,53,8,61,17,9,-2,-2,2,6,-1,6,8,2,4,1,0,1,4,-1,4,2,0,2,0,9,2,2,2,6,1,6,8,2,8,1,0,1,4,1,4,2,0,2,0,9,0,0,2,6,0,6,8,2,5,1,0,1,4,0,4,2,0,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.7000000000000002,1,0.87,0.13
2017,CT,5.1,188,Connecticut,45,53,8,61,17,9,-2,-2,2,6,-1,6,8,2,4,1,0,1,4,-1,4,2,0,2,0,9,2,2,2,6,1,6,8,2,8,1,0,1,4,1,4,2,0,2,0,9,0,0,2,6,0,6,8,2,5,1,0,1,4,0,4,2,0,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.87,0.13
2018,CT,4.9,186,Connecticut,45,53,8,61,17,9,-2,-2,2,6,-1,6,8,2,4,1,0,1,4,-1,4,2,0,2,0,9,2,2,2,6,1,6,8,2,8,1,0,1,4,1,4,2,0,2,0,9,0,0,2,6,0,6,8,2,5,1,0,1,4,0,4,2,0,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.1999999999999993,0,0.87,0.13
2019,CT,5.3,190,Connecticut,46,54,8,62,18,9,-2,-2,2,6,-1,6,8,2,4,1,0,1,4,-1,4,2,1,2,0,9,2,2,2,6,1,6,8,2,8,1,0,1,4,1,4,2,1,2,0,9,0,0,2,6,0,6,8,2,5,1,0,1,4,0,4,2,1,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.39999999999999947,1,0.87,0.13
2020,CT,6,219,Connecticut,46,54,8,62,18,9,-2,-2,2,6,-1,6,8,2,4,1,0,1,4,-1,4,2,1,2,0,9,2,2,2,6,1,6,8,2,8,1,0,1,4,1,4,2,1,2,0,9,0,0,2,6,0,6,8,2,5,1,0,1,4,0,4,2,1,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.7000000000000002,0,0.87,0.13
2021,CT,6.7,248,Connecticut,46,54,8,62,18,9,-2,-2,2,6,-1,6,8,2,4,1,0,1,4,-1,4,2,1,2,0,9,2,2,2,6,1,6,8,2,8,1,0,1,4,1,4,2,1,2,0,9,0,0,2,6,0,6,8,2,5,1,0,1,4,0,4,2,1,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.7000000000000002,0,0.87,0.13
2022,CT,6.9,252,Connecticut,47,55,8,63,18,9,-2,-2,2,6,-1,6,9,2,4,1,0,1,4,-1,4,2,1,2,0,9,2,2,2,6,1,6,9,2,8,1,0,1,4,1,4,2,1,2,0,9,0,0,2,6,0,6,9,2,5,1,0,1,4,0,4,2,1,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.20000000000000018,1,0.87,0.13
2023,CT,6.2,225,Connecticut,48,56,8,64,18,9,-2,-2,2,6,-1,6,9,2,4,1,0,1,4,0,4,2,1,2,0,9,2,2,2,6,1,6,9,2,8,1,0,1,4,2,4,2,1,2,0,9,0,0,2,6,0,6,9,2,5,1,0,1,4,1,4,2,1,2,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,-0.7000000000000002,1,0.88,0.12
2014,DE,11.1,102,Delaware,22,26,4,30,10,9,-1,-2,1,3,-1,7,3,0,0,0,0,1,0,0,2,0,0,0,0,9,1,2,1,3,1,7,3,0,0,0,0,1,0,0,2,0,0,0,0,9,0,0,1,3,0,7,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.87,0.13
2015,DE,12.1,112,Delaware,22,26,4,30,10,9,-1,-2,1,3,-1,7,3,0,0,0,0,1,0,0,2,0,0,0,0,9,1,2,1,3,1,7,3,0,0,0,0,1,0,0,2,0,0,0,0,9,0,0,1,3,0,7,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.87,0.13
2016,DE,11,111,Delaware,25,29,4,33,10,11,-1,-2,1,3,-1,7,3,0,0,0,0,1,0,0,3,0,0,0,0,11,1,2,1,3,1,7,3,0,0,0,0,1,0,0,3,0,0,0,0,11,0,0,1,3,0,7,3,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0999999999999996,3,0.88,0.12
2017,DE,11.7,111,Delaware,25,29,4,33,10,11,-1,-2,1,3,-1,7,3,0,0,0,0,1,0,0,3,0,0,0,0,11,1,2,1,3,1,7,3,0,0,0,0,1,0,0,3,0,0,0,0,11,0,0,1,3,0,7,3,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6999999999999993,0,0.88,0.12
2018,DE,11.6,107,Delaware,28,32,4,36,10,11,-1,-2,1,3,-1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,1,2,1,3,1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,0,0,1,3,0,7,6,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09999999999999964,3,0.89,0.11
2019,DE,9.9,93,Delaware,28,32,4,36,10,11,-1,-2,1,3,-1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,1,2,1,3,1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,0,0,1,3,0,7,6,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6999999999999993,0,0.89,0.11
2020,DE,14.4,135,Delaware,28,32,4,36,10,11,-1,-2,1,3,-1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,1,2,1,3,1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,0,0,1,3,0,7,6,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0.89,0.11
2021,DE,16.6,158,Delaware,28,32,4,36,10,11,-1,-2,1,3,-1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,1,2,1,3,1,7,6,0,0,0,0,1,0,0,3,0,0,0,0,11,0,0,1,3,0,7,6,0,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.200000000000001,0,0.89,0.11
2022,DE,11.9,124,Delaware,31,35,4,39,11,11,-1,-2,1,5,-1,7,6,0,0,0,0,1,0,0,3,0,1,0,0,11,1,2,1,5,1,7,6,0,0,0,0,1,0,0,3,0,1,0,0,11,0,0,1,5,0,7,6,0,0,0,0,1,0,0,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.700000000000001,3,0.9,0.1
2023,DE,12,124,Delaware,31,35,4,39,11,11,-1,-2,1,5,-1,7,6,0,0,0,0,1,0,0,3,0,1,0,0,11,1,2,1,5,1,7,6,0,0,0,0,1,0,0,3,0,1,0,0,11,0,0,1,5,0,7,6,0,0,0,0,1,0,0,3,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09999999999999964,0,0.9,0.1
2022,District of Columbia,21.4,154,District of Columbia,44,51,7,58,16,3,-5,-1,2,11,0,8,6,2,5,0,3,1,0,2,2,2,1,2,0,5,5,1,2,11,0,8,6,2,5,0,3,1,0,2,2,2,1,2,0,4,0,0,2,9,0,8,6,2,5,0,3,1,0,2,2,2,1,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0.88,0.12
2023,District of Columbia,30.6,225,District of Columbia,44,51,7,58,16,3,-5,-1,2,11,0,8,6,2,5,0,3,1,0,2,2,2,1,2,0,5,5,1,2,11,0,8,6,2,5,0,3,1,0,2,2,2,1,2,0,4,0,0,2,9,0,8,6,2,5,0,3,1,0,2,2,2,1,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.200000000000003,0,0.88,0.12
2014,FL,11.5,2410,Florida,17,23,6,29,11,4,-2,-2,0,3,-2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,2,2,0,3,2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,0,0,0,3,0,8,1,0,1,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.79,0.21
2015,FL,12,2559,Florida,17,23,6,29,11,4,-2,-2,0,3,-2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,2,2,0,3,2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,0,0,0,3,0,8,1,0,1,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.79,0.21
2016,FL,12.6,2704,Florida,17,23,6,29,11,4,-2,-2,0,3,-2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,2,2,0,3,2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,0,0,0,3,0,8,1,0,1,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5999999999999996,0,0.79,0.21
2017,FL,12.4,2724,Florida,17,23,6,29,11,4,-2,-2,0,3,-2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,2,2,0,3,2,8,1,0,1,0,3,1,0,2,0,0,0,0,0,4,0,0,0,3,0,8,1,0,1,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1999999999999993,0,0.79,0.21
2018,FL,12.9,2902,Florida,25,32,7,39,12,6,-2,-2,0,3,-2,10,5,0,2,0,3,1,0,2,0,0,0,0,-1,6,2,2,0,3,2,10,5,0,2,0,3,1,0,2,0,0,0,0,1,6,0,0,0,3,0,10,5,0,2,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,8,0.82,0.18
2019,FL,12.7,2872,Florida,25,32,7,39,12,6,-2,-2,0,3,-2,10,5,0,2,0,3,1,0,2,0,0,0,0,-1,6,2,2,0,3,2,10,5,0,2,0,3,1,0,2,0,0,0,0,1,6,0,0,0,3,0,10,5,0,2,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.20000000000000107,0,0.82,0.18
2020,FL,13.7,3041,Florida,25,32,7,39,12,6,-2,-2,0,3,-2,10,5,0,2,0,3,1,0,2,0,0,0,0,-1,6,2,2,0,3,2,10,5,0,2,0,3,1,0,2,0,0,0,0,1,6,0,0,0,3,0,10,5,0,2,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.82,0.18
2021,FL,14.1,3142,Florida,25,32,7,39,12,6,-2,-2,0,3,-2,10,5,0,2,0,3,1,0,2,0,0,0,0,-1,6,2,2,0,3,2,10,5,0,2,0,3,1,0,2,0,0,0,0,1,6,0,0,0,3,0,10,5,0,2,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.40000000000000036,0,0.82,0.18
2022,FL,14,3232,Florida,25,32,7,39,12,6,-2,-2,0,3,-2,10,5,0,2,0,3,1,0,2,0,0,0,0,-1,6,2,2,0,3,2,10,5,0,2,0,3,1,0,2,0,0,0,0,1,6,0,0,0,3,0,10,5,0,2,0,3,1,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.09999999999999964,0,0.82,0.18
2023,FL,13.7,3253,Florida,24,32,8,40,12,6,-3,-2,0,3,-2,10,5,0,2,0,3,1,0,2,0,0,0,0,-1,6,3,2,0,3,2,10,5,0,2,0,3,1,0,2,0,0,0,0,1,6,0,0,0,3,0,10,5,0,2,0,3,1,0,2,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3000000000000007,-1,0.8,0.2
2014,GA,13.7,1391,Georgia,15,23,8,31,11,6,-1,-2,2,3,-2,4,0,0,2,0,2,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,2,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,0.74,0.26
2015,GA,14.1,1448,Georgia,15,23,8,31,11,6,-1,-2,2,3,-2,4,0,0,2,0,2,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,2,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.40000000000000036,0,0.74,0.26
2016,GA,15,1571,Georgia,15,23,8,31,11,6,-1,-2,2,3,-2,4,0,0,2,0,2,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,2,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9000000000000004,0,0.74,0.26
2017,GA,15.4,1623,Georgia,14,23,9,32,11,6,-1,-2,2,3,-2,4,0,0,2,0,1,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,3,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.40000000000000036,-1,0.72,0.28
2018,GA,15.7,1680,Georgia,14,23,9,32,11,6,-1,-2,2,3,-2,4,0,0,2,0,1,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,3,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.29999999999999893,0,0.72,0.28
2019,GA,15.8,1695,Georgia,14,23,9,32,11,6,-1,-2,2,3,-2,4,0,0,2,0,1,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,3,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.10000000000000142,0,0.72,0.28
2020,GA,17.7,1897,Georgia,14,23,9,32,11,6,-1,-2,2,3,-2,4,0,0,2,0,1,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,3,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.8999999999999986,0,0.72,0.28
2021,GA,20.3,2200,Georgia,14,23,9,32,11,6,-1,-2,2,3,-2,4,0,0,2,0,1,1,0,0,0,0,0,0,0,6,3,2,2,3,2,6,0,0,2,0,3,1,0,2,0,0,0,0,0,4,1,0,1,3,0,5,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.6000000000000014,0,0.72,0.28
